model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_1_AutoML_1_20250829_93208,0.7534192950500113,0.5762913051822933,0.6245274353660947,0.2985811523343878,0.441551685453989,0.1949678909272584
StackedEnsemble_BestOfFamily_1_AutoML_1_20250829_93208,0.7532675039146135,0.5766591253352208,0.6249341948461902,0.3039976991659476,0.4418003746684591,0.1951875710571908
XRT_1_AutoML_1_20250829_93208,0.7383440386028824,0.5928954446312269,0.6127156245985896,0.3029671172466686,0.4506524710059076,0.2030876496237305
GLM_1_AutoML_1_20250829_93208,0.5854530832241502,0.6291006484358452,0.461360778235306,0.4118972294123286,0.4705559948542116,0.2214229442932368
DRF_1_AutoML_1_20250829_93208,0.5238977833168228,3.346435829867747,0.4295624722277997,0.5,0.6057955122661983,0.3669882026818656
XGBoost_2_AutoML_1_20250829_93208,0.4893533165031583,0.6662149862123339,0.3739023007456244,0.5,0.48646713327383,0.2366502717556582
GBM_4_AutoML_1_20250829_93208,0.48725753363372,1.1240972162472382,0.4026688188141694,0.5,0.576530074014855,0.3323869262435741
XGBoost_3_AutoML_1_20250829_93208,0.4842243739281415,0.6661944245052768,0.3723814311166648,0.5,0.4864562035839995,0.2366396380053576
XGBoost_1_AutoML_1_20250829_93208,0.4842243739281415,0.6664554238323359,0.3723814311166648,0.5,0.4865829734298709,0.2367629900318545
GBM_2_AutoML_1_20250829_93208,0.4776627360751606,1.122785475439369,0.3939954102784491,0.5,0.5761325774780892,0.3319287468315465
GBM_3_AutoML_1_20250829_93208,0.476996985481311,1.1241142014127865,0.4006366916840691,0.5,0.5765870862284402,0.3324526680054027
GBM_1_AutoML_1_20250829_93208,0.4239313371467527,1.12454390205355,0.3719394961760914,0.5,0.576272898997784,0.3320904541193101
